	201022_01_WF_RNA_GO_totalRNA_WT_W2_rep1	201022_01_WF_RNA_GO_totalRNA_WT_W2_rep1_reseq	201022_02_WF_RNA_GO_totalRNA_WT_W2_rep2	201022_02_WF_RNA_GO_totalRNA_WT_W2_rep2_reseq	201022_03_WF_RNA_GO_totalRNA_WT_W2_rep3	201022_03_WF_RNA_GO_totalRNA_WT_W2_rep3_reseq	201022_04_WF_RNA_GO_totalRNA_KO_W2_rep1	201022_04_WF_RNA_GO_totalRNA_KO_W2_rep1_reseq	201022_05_WF_RNA_GO_totalRNA_KO_W2_rep2	201022_05_WF_RNA_GO_totalRNA_KO_W2_rep2_reseq	201022_06_WF_RNA_GO_totalRNA_KO_W2_rep3	201022_06_WF_RNA_GO_totalRNA_KO_W2_rep3_reseq
ENSMUSG00000000001.4	472	2575	552	2946	562	3222	384	2265	410	1688	518	1894
ENSMUSG00000000028.15	114	636	126	702	143	790	93	658	128	544	153	599
ENSMUSG00000000031.16	0	0	0	0	0	1	0	1	0	0	0	2
ENSMUSG00000000049.11	0	0	0	0	0	1	0	0	0	0	2	1
ENSMUSG00000000056.7	106	649	140	659	102	737	146	699	149	622	191	659
ENSMUSG00000000058.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000078.7	50	202	36	179	32	191	12	80	17	89	27	96
ENSMUSG00000000085.16	280	1475	276	1434	346	1906	276	1454	233	934	306	1065
ENSMUSG00000000088.7	79	355	89	405	86	451	96	445	74	256	77	221
ENSMUSG00000000093.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000094.12	351	1826	390	2003	504	2430	485	2522	366	1625	538	1833
ENSMUSG00000000120.6	0	1	0	0	0	2	0	0	0	1	0	0
ENSMUSG00000000125.5	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000126.11	42	213	49	215	61	253	55	267	54	207	72	265
ENSMUSG00000000127.15	96	550	143	684	124	694	65	460	120	500	128	495
ENSMUSG00000000131.15	231	1202	286	1415	289	1555	234	1247	207	942	251	984
ENSMUSG00000000142.15	825	3911	926	4344	1128	5251	1151	6252	1227	4534	1657	5648
ENSMUSG00000000148.17	31	165	52	246	51	251	57	254	47	227	66	206
ENSMUSG00000000149.10	234	1247	305	1459	372	1720	273	1346	261	968	367	1153
ENSMUSG00000000154.16	2	3	1	4	1	1	1	3	0	1	0	0
ENSMUSG00000000157.16	7	42	9	55	6	49	3	11	1	3	1	7
ENSMUSG00000000159.16	0	3	1	3	1	7	0	0	1	0	0	0
ENSMUSG00000000167.14	13	53	15	59	16	84	4	58	10	65	13	49
ENSMUSG00000000168.9	134	778	205	987	164	1046	126	744	136	578	203	683
ENSMUSG00000000171.5	271	1261	310	1475	267	1606	190	1218	236	1043	293	1164
ENSMUSG00000000182.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	3	6	2	3	0	4	0	0	0	0	0	0
ENSMUSG00000000184.12	60	243	52	241	64	223	38	188	35	146	59	170
ENSMUSG00000000194.13	96	559	120	566	145	686	97	570	101	432	164	445
ENSMUSG00000000197.8	13	62	11	46	9	71	15	80	9	44	17	75
ENSMUSG00000000202.9	7	27	4	14	2	17	6	25	3	11	3	15
ENSMUSG00000000204.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214.11	141	648	132	654	164	777	193	938	177	585	231	631
ENSMUSG00000000215.11	1	0	0	1	0	1	0	0	0	5	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000244.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000247.11	33	151	58	242	39	220	21	172	31	143	41	135
ENSMUSG00000000248.16	0	0	0	2	0	0	1	7	1	2	0	0
ENSMUSG00000000253.13	110	566	121	634	141	693	51	302	71	235	89	298
ENSMUSG00000000263.15	0	0	0	0	0	0	1	1	0	7	0	0
ENSMUSG00000000275.16	1	11	3	4	1	10	1	8	2	7	1	7
ENSMUSG00000000276.11	192	1054	235	1277	224	1241	187	1119	181	851	245	933
ENSMUSG00000000278.10	56	304	65	340	78	405	19	122	18	88	34	109
ENSMUSG00000000282.12	89	438	120	545	123	606	95	442	63	278	82	289
ENSMUSG00000000290.13	8	28	3	13	4	21	1	2	0	1	0	1
ENSMUSG00000000295.13	39	187	34	147	47	179	36	144	33	137	35	128
ENSMUSG00000000296.8	6	38	10	27	4	26	3	20	3	15	18	40
ENSMUSG00000000301.16	11	29	5	45	9	36	11	37	1	25	11	18
ENSMUSG00000000303.12	1006	5096	1158	5589	1238	6523	759	4099	769	2978	1015	3582
ENSMUSG00000000305.12	62	334	91	449	99	517	95	436	77	339	138	374
ENSMUSG00000000308.14	0	0	0	0	0	0	1	1	2	0	0	0
ENSMUSG00000000317.11	0	1	1	7	0	2	1	11	0	4	2	10
ENSMUSG00000000318.16	71	299	90	386	107	365	31	156	24	120	33	109
ENSMUSG00000000320.10	23	93	30	105	28	102	10	78	16	55	21	44
ENSMUSG00000000325.16	63	295	83	367	93	392	64	344	61	249	67	208
ENSMUSG00000000326.13	11	31	6	28	7	20	9	22	4	14	10	19
ENSMUSG00000000339.14	52	239	45	231	49	267	37	211	61	220	62	190
ENSMUSG00000000340.10	23	89	24	150	21	138	14	83	24	90	31	106
ENSMUSG00000000346.9	280	1503	308	1695	326	1738	216	1270	230	1021	242	1023
ENSMUSG00000000359.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000365.9	803	4412	1039	5338	937	5178	503	3025	706	3148	925	3530
ENSMUSG00000000374.8	306	1537	352	1820	429	2133	272	1400	262	1103	334	1171
ENSMUSG00000000378.15	28	189	45	290	56	266	28	229	51	201	53	200
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.15	28	139	34	165	43	191	22	149	31	102	40	169
ENSMUSG00000000385.8	0	1	0	1	0	1	1	2	0	0	1	1
ENSMUSG00000000386.15	3	13	3	22	5	33	1	9	0	0	1	10
ENSMUSG00000000392.17	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000394.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399.10	142	822	193	1002	200	1176	151	842	186	818	211	788
ENSMUSG00000000409.14	0	1	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000411.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416.16	18	69	17	68	15	31	15	65	5	57	9	39
ENSMUSG00000000420.15	306	1742	397	2059	394	2113	266	1426	281	1236	399	1447
ENSMUSG00000000435.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439.9	257	1414	317	1570	364	1811	286	1470	269	1077	386	1232
ENSMUSG00000000440.12	77	458	119	555	119	640	25	113	25	97	37	125
ENSMUSG00000000441.17	634	3006	632	3162	802	3790	484	2758	486	1929	694	2387
ENSMUSG00000000486.13	3	10	5	14	1	19	2	18	1	10	3	11
ENSMUSG00000000489.7	29	218	68	297	49	269	74	430	85	246	86	367
ENSMUSG00000000530.16	1	14	4	16	3	15	1	1	4	8	1	5
ENSMUSG00000000531.5	4	33	7	31	8	36	12	16	4	14	10	33
ENSMUSG00000000532.11	343	1843	419	2065	417	2188	463	2362	466	1729	622	2113
ENSMUSG00000000538.18	383	2097	475	2251	546	2644	247	1386	218	899	324	1125
ENSMUSG00000000544.14	7	79	12	68	20	97	6	33	4	20	8	26
ENSMUSG00000000552.10	80	461	104	420	116	534	75	358	66	264	77	247
ENSMUSG00000000555.8	5	27	7	36	7	56	4	34	3	22	2	12
ENSMUSG00000000560.9	0	0	0	3	0	3	0	0	0	0	0	0
ENSMUSG00000000561.14	3	27	1	31	2	10	1	10	1	10	5	27
ENSMUSG00000000562.5	0	6	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000563.17	191	931	238	1222	216	1176	120	745	185	671	223	865
ENSMUSG00000000567.5	0	0	1	8	0	0	1	4	0	0	0	0
ENSMUSG00000000568.15	500	2796	596	3105	548	3049	384	2218	509	2257	716	2441
ENSMUSG00000000579.14	1	2	0	7	3	4	1	6	1	10	1	1
ENSMUSG00000000581.8	35	273	62	291	48	319	38	246	53	238	53	253
ENSMUSG00000000594.7	5	18	11	29	7	24	5	32	2	25	3	23
ENSMUSG00000000600.15	102	560	142	715	119	731	67	503	94	372	160	476
ENSMUSG00000000605.9	28	174	51	223	33	179	38	214	42	196	44	190
ENSMUSG00000000606.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627.15	3	15	1	3	3	15	2	37	2	7	2	7
ENSMUSG00000000628.10	14	105	18	101	16	89	11	49	16	43	22	49
ENSMUSG00000000631.20	611	2715	652	2998	748	3621	371	1833	460	1663	553	1727
ENSMUSG00000000632.13	1	10	0	1	0	2	1	5	0	0	1	4
ENSMUSG00000000673.8	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000682.7	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000686.11	9	39	12	43	10	52	9	62	5	26	12	29
ENSMUSG00000000690.5	1	1	0	0	1	3	1	0	0	1	0	3
ENSMUSG00000000693.10	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000000701.8	12	112	15	95	25	119	4	13	1	8	9	23
ENSMUSG00000000706.16	0	5	1	1	2	6	0	3	3	12	0	0
ENSMUSG00000000708.14	13	28	1	17	5	32	9	45	8	24	9	29
ENSMUSG00000000711.3	147	758	210	1009	194	997	172	935	177	731	244	837
ENSMUSG00000000724.10	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000000730.13	212	1091	263	1142	269	1450	120	719	107	478	166	656
ENSMUSG00000000731.15	30	156	31	170	38	173	13	80	18	45	21	81
ENSMUSG00000000732.9	417	2010	506	2560	512	2680	384	2200	372	1479	514	1828
ENSMUSG00000000738.18	64	310	90	379	99	447	67	430	72	262	112	341
ENSMUSG00000000739.14	23	101	22	104	29	99	22	127	41	122	41	118
ENSMUSG00000000740.12	142	746	215	816	178	835	154	824	152	574	220	634
ENSMUSG00000000743.9	64	304	72	349	88	354	40	295	62	244	72	314
ENSMUSG00000000751.13	936	4870	1129	5548	1126	5805	784	4180	840	3322	1150	4086
ENSMUSG00000000753.15	0	3	0	4	0	0	0	2	0	4	0	1
ENSMUSG00000000759.14	25	175	33	183	39	255	34	159	20	131	40	140
ENSMUSG00000000766.18	0	1	0	0	1	3	0	2	0	0	0	0
ENSMUSG00000000776.13	100	410	128	506	109	443	108	427	122	435	149	466
ENSMUSG00000000782.15	204	1087	285	1281	267	1469	198	966	169	761	225	807
ENSMUSG00000000791.9	0	6	0	1	2	2	0	1	0	0	1	4
ENSMUSG00000000792.2	1	13	4	15	2	14	3	16	1	16	4	12
ENSMUSG00000000794.9	5	16	5	30	3	28	0	4	0	0	1	6
ENSMUSG00000000804.14	505	2670	608	3150	507	3206	383	2100	483	1930	548	2142
ENSMUSG00000000805.18	0	1	0	0	1	2	0	1	0	0	0	0
ENSMUSG00000000811.13	257	1289	269	1352	321	1624	182	967	237	950	284	1020
ENSMUSG00000000817.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823.16	317	1826	502	2123	491	2341	475	2452	465	1924	626	2205
ENSMUSG00000000826.16	181	972	217	1166	215	1226	207	1059	173	658	244	792
ENSMUSG00000000827.18	416	2261	463	2248	509	2592	336	1934	365	1727	488	1795
ENSMUSG00000000861.15	0	10	4	7	1	7	0	8	2	11	0	10
ENSMUSG00000000869.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876.11	23	103	29	102	26	149	20	119	11	61	24	72
ENSMUSG00000000884.17	19	86	28	105	30	134	14	91	18	60	18	51
ENSMUSG00000000889.8	6	30	12	47	16	55	1	5	0	9	0	4
ENSMUSG00000000901.17	0	4	0	0	0	4	0	2	3	9	1	11
ENSMUSG00000000902.13	213	1104	249	1149	274	1337	181	1007	190	683	214	773
ENSMUSG00000000903.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000915.15	636	2998	769	3487	857	3978	770	3668	796	2974	1001	3317
ENSMUSG00000000916.15	19	58	33	112	17	72	13	63	16	62	22	53
ENSMUSG00000000934.9	2	10	2	8	3	9	2	6	1	23	0	2
ENSMUSG00000000938.11	1	3	4	12	4	11	0	5	0	3	4	9
ENSMUSG00000000942.10	0	1	0	2	0	3	1	2	0	1	3	1
