	041322_01_WF_RNA_oocyte_totalRNA_WT_W4_rep1	041322_01_WF_RNA_oocyte_totalRNA_WT_W4_rep1_r_22L007040	041322_02_WF_RNA_oocyte_totalRNA_WT_W4_rep2	041322_02_WF_RNA_oocyte_totalRNA_WT_W4_rep2_r_22L007041	041322_03_WF_RNA_oocyte_totalRNA_KO_W4_rep1	041322_03_WF_RNA_oocyte_totalRNA_KO_W4_rep1_r_22L007042	041322_04_WF_RNA_oocyte_totalRNA_KO_W4_rep2	041322_04_WF_RNA_oocyte_totalRNA_KO_W4_rep2_r_22L007043
ENSMUSG00000000001.4	206	2652	223	1533	256	2885	198	2427
ENSMUSG00000000028.15	87	1098	80	533	91	1131	79	933
ENSMUSG00000000031.16	0	0	0	2	0	6	0	2
ENSMUSG00000000049.11	0	1	0	1	0	1	0	1
ENSMUSG00000000056.7	49	548	60	321	67	861	62	622
ENSMUSG00000000058.6	0	1	0	2	0	4	0	1
ENSMUSG00000000078.7	7	102	7	44	5	80	10	90
ENSMUSG00000000085.16	230	2465	229	1519	156	2006	139	1620
ENSMUSG00000000088.7	103	1382	139	818	122	1485	117	1255
ENSMUSG00000000093.6	2	6	0	1	1	5	1	6
ENSMUSG00000000094.12	309	3497	330	2126	326	4291	305	3568
ENSMUSG00000000120.6	1	4	1	8	0	4	0	3
ENSMUSG00000000125.5	0	2	0	0	0	0	0	0
ENSMUSG00000000126.11	8	89	9	30	8	144	9	87
ENSMUSG00000000127.15	41	450	41	274	50	572	35	475
ENSMUSG00000000131.15	134	1498	122	961	123	1401	113	1227
ENSMUSG00000000142.15	595	5958	566	3554	796	10129	723	7639
ENSMUSG00000000148.17	11	167	14	115	30	301	19	285
ENSMUSG00000000149.10	258	2565	232	1528	225	2457	207	2066
ENSMUSG00000000154.16	2	24	3	13	5	33	1	29
ENSMUSG00000000157.16	3	39	3	31	1	8	2	7
ENSMUSG00000000159.16	0	3	1	1	0	0	0	2
