	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_07_WF_RNA_GV_totalRNA_Mll4KO_W5_rep1	220823_08_WF_RNA_GV_totalRNA_Mll4KO_W5_rep2	220823_09_WF_RNA_GV_totalRNA_Mll4KO_W5_rep3
ENSMUSG00000000001.4	1072	752	1478	1245	1102	1245
ENSMUSG00000000028.15	348	353	667	424	369	439
ENSMUSG00000000031.16	0	0	0	3	0	0
ENSMUSG00000000049.11	1	2	0	0	0	0
ENSMUSG00000000056.7	327	209	382	305	289	337
ENSMUSG00000000058.6	0	0	0	5	0	0
ENSMUSG00000000078.7	26	8	23	29	23	29
ENSMUSG00000000085.16	744	606	1090	971	747	935
ENSMUSG00000000088.7	327	160	247	320	269	304
ENSMUSG00000000093.6	1	0	1	7	1	0
ENSMUSG00000000094.12	1387	1037	1885	1619	1324	1653
ENSMUSG00000000120.6	1	0	1	0	1	0
ENSMUSG00000000125.5	0	2	0	1	1	0
ENSMUSG00000000126.11	16	15	18	21	7	32
ENSMUSG00000000127.15	279	183	410	309	311	323
ENSMUSG00000000131.15	492	390	706	530	436	610
ENSMUSG00000000142.15	2556	1981	4366	3061	2772	3523
ENSMUSG00000000148.17	46	21	67	48	22	60
ENSMUSG00000000149.10	718	528	968	817	681	839
ENSMUSG00000000154.16	2	2	5	0	1	2
ENSMUSG00000000157.16	6	4	24	4	2	1
ENSMUSG00000000159.16	0	0	4	0	0	0
ENSMUSG00000000167.14	9	5	12	14	9	7
ENSMUSG00000000168.9	364	223	476	470	403	481
ENSMUSG00000000171.5	596	480	809	599	594	670
ENSMUSG00000000182.9	0	0	0	0	0	0
ENSMUSG00000000183.6	3	2	2	3	3	3
ENSMUSG00000000184.12	1368	386	746	1273	1498	684
ENSMUSG00000000194.13	240	191	359	304	235	305
ENSMUSG00000000197.8	6	20	23	22	14	11
ENSMUSG00000000202.9	7	4	6	4	1	6
ENSMUSG00000000204.16	2	0	0	4	4	9
ENSMUSG00000000214.11	355	225	335	364	356	406
ENSMUSG00000000215.11	0	0	1	2	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0
ENSMUSG00000000244.17	0	0	0	1	0	0
ENSMUSG00000000247.11	85	49	109	52	52	72
ENSMUSG00000000248.16	5	1	3	5	11	12
ENSMUSG00000000253.13	328	268	456	434	348	425
ENSMUSG00000000263.15	0	0	0	0	0	0
ENSMUSG00000000275.16	17	11	18	25	13	17
ENSMUSG00000000276.11	350	239	492	380	306	373
ENSMUSG00000000278.10	315	254	536	425	351	351
ENSMUSG00000000282.12	181	130	228	216	154	187
ENSMUSG00000000290.13	18	21	42	63	23	29
ENSMUSG00000000295.13	88	56	111	133	96	124
ENSMUSG00000000296.8	30	4	30	22	27	18
ENSMUSG00000000301.16	23	10	20	21	9	26
ENSMUSG00000000303.12	3755	3416	7017	4549	3990	4726
ENSMUSG00000000305.12	210	176	313	246	191	223
ENSMUSG00000000308.14	0	0	0	0	0	0
ENSMUSG00000000317.11	2	1	2	2	2	2
ENSMUSG00000000318.16	153	99	263	176	135	166
ENSMUSG00000000320.10	50	52	72	66	51	77
ENSMUSG00000000325.16	120	104	214	168	88	132
ENSMUSG00000000326.13	18	7	12	6	6	8
ENSMUSG00000000339.14	89	72	149	91	92	132
ENSMUSG00000000340.10	80	72	153	109	92	96
ENSMUSG00000000346.9	595	355	603	563	561	552
ENSMUSG00000000359.3	0	0	0	0	0	0
ENSMUSG00000000365.9	1567	1235	2487	1590	1508	1644
ENSMUSG00000000374.8	781	631	1105	857	765	889
ENSMUSG00000000378.15	103	78	146	142	83	106
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	85	79	112	100	64	95
ENSMUSG00000000385.8	1	0	3	3	0	0
ENSMUSG00000000386.15	6	8	18	19	7	2
ENSMUSG00000000392.17	1	0	3	6	3	2
ENSMUSG00000000394.15	0	0	0	0	0	0
ENSMUSG00000000399.10	360	324	587	444	367	449
ENSMUSG00000000409.14	1	0	1	0	0	0
ENSMUSG00000000411.7	0	0	0	0	0	0
ENSMUSG00000000416.16	89	86	177	98	57	82
ENSMUSG00000000420.15	692	438	924	670	598	702
ENSMUSG00000000435.1	0	0	0	0	0	0
ENSMUSG00000000439.9	674	493	881	683	645	749
ENSMUSG00000000440.12	233	248	442	238	259	262
ENSMUSG00000000441.17	1937	1699	3043	2412	2190	2528
